DirectorName - unedited,First_Name,Last_Name
Edward Hanna,Edward,Hanna
Raymond Harris,Raymond,Harris
David Mcleish,David,Mcleish
Anthony Heller,Anthony,Heller
Edward Gilbert,Edward,Gilbert
Eli Dadouch,Eli,Dadouch
Geoff Bledin,Geoff,Bledin
Jonathan Mair,Jonathan,Mair
Keith Ray,Keith,Ray
Larry Shulman,Larry,Shulman
Morris Fischtein,Morris,Fischtein
Stanley Goldfarb,Stanley,Goldfarb
Dori J. Segal,Dori,Segal
Adam E. Paul,Adam,Paul
Jon N. Hagan,Jon,Hagan
Chaim Katzman,Chaim,Katzman
Allan S. Kimberley,Allan,Kimberley
Annalisa King,Annalisa,King
Susan J. McArthur,Susan,McArthur
Bernard McDonell,Bernard,McDonell
Andrea Stephen,Andrea,Stephen
Nathan Hetz,Nathan,Hetz
Doctor David Shaw,David,Shaw
Doug Penrose,Doug,Penrose
Keith Neumeyer,Keith,Neumeyer
Robert McCallum,Robert,McCallum
Tony Pezzotti,Tony,Pezzotti
Barbara Palk,Barbara,Palk
Duncan Jackman,Duncan,Jackman
John Brough,John,Brough
Moray Tawse,Moray,Tawse
Peter Copestake,Peter,Copestake
Rob Mitchell,Rob,Mitchell
Stephen Smith,Stephen,Smith
Bill Myckatyn,Bill,Myckatyn
Bob Watts,Bob,Watts
Doctor John Gammon,John,Gammon
Doctor John McDonald,John,McDonald
Doctor Peter Bradshaw,Peter,Bradshaw
Jim Gilbert,Jim,Gilbert
Geoffrey Newall,Geoffrey,Newall
Dev Randhawa,Dev,Randhawa
Ross McElroy,Ross,McElroy
Anthony Milewski,Anthony,Milewski
Bill Marsh,Bill,Marsh
Eyler Estergaard,Eyler,Estergaard
Jeremy Ross,Jeremy,Ross
Jianhua Xing,Jianhua,Xing
Raffi Babikian,Raffi,Babikian
Shiming Ma,Shiming,Ma
Daniel Simoncini,Daniel,Simoncini
Jean-Pierre Charmensat,Jean-Pierre,Charmensat
Bruno Chabas,Bruno,Chabas
Warren Holmes,Warren,Holmes
Jorge Hurtado,Jorge,Hurtado
Bob Quinn,Bob,Quinn
Doctor Dave Stone,Dave,Stone
Dave Christie,Dave,Christie
Greg Hahn,Greg,Hahn
Rob Metka,Rob,Metka
Scott Hean,Scott,Hean
James B. Engdahl,James,Engdahl
Mark Frewin,Mark,Frewin
Marcel Hilmer,Marcel,Hilmer
Paul Matysek,Paul,Matysek
Martin R. Rowley,Martin,Rowley
Jorge Estepa,Jorge,Estepa
Claudio Comini,Claudio,Comini
Tracey C. Ball,Tracey,Ball
Pierre J. Blouin,Pierre,Blouin
Maura J. Clark,Maura,Clark
Margarita K. Dilley,Margarita,Dilley
Ida J. Goodreau,Ida,Goodreau
Douglas J. Haughey,Douglas,Haughey
R. Harry McWatters,R.,McWatters
Ronald D. Munkley,Ronald,Munkley
Jo Mark Zurel,Jo,Zurel
Peter E. Case,Peter,Case
David G. Norris,David,Norris
Barry V. Perry,Barry,Perry
Anil Wirasekara,Anil,Wirasekara
Chad Wasilenkoff,Chad,Wasilenkoff
Gerry Gaetz,Gerry,Gaetz
Joe Nemeth,Joe,Nemeth
Terrence Kavanagh,Terrence,Kavanagh
David Farrell,David,Farrell
Jorge Ganoza Durant,Jorge,Ganoza Durant
Mario Szotlender,Mario,Szotlender
Robby Gilmore,Robby,Gilmore
Simon Ridgway,Simon,Ridgway
Carl Clouter,Carl,Clouter
Dave Ramsay,Dave,Ramsay
Ed Yurkowski,Ed,Yurkowski
Grant Chen,Grant,Chen
Mahendra Naik,Mahendra,Naik
Robin Goad,Robin,Goad
David Harquail,David,Harquail
Derek Evans,Derek,Evans
Doctor Catharine Farrow,Catharine,Farrow
Doctor Louis Gignac Sr,Louis,Gignac
Graham Farquharson,Graham,Farquharson
Pierre Lassonde,Pierre,Lassonde
Randall Oliphant,Randall,Oliphant
The Hon. David Peterson,David,Peterson
Tom Albanese,Tom,Albanese
Alvin Jackson,Alvin,Jackson
Andrew Partington,Andrew,Partington
David Knight,David,Knight
Garnet Dawson,Garnet,Dawson
Gary Moore,Gary,Moore
Greg Hanks,Greg,Hanks
J Walcott,J,Walcott
Aidan Walsh,Aidan,Walsh
Art Korpach,Art,Korpach
Gary Bugeaud,Gary,Bugeaud
Marvin Romanow,Marvin,Romanow
Peter Harrison,Peter,Harrison
Sue MacKenzie,Sue,MacKenzie
Tom Mullane,Tom,Mullane
Barry Larson,Barry,Larson
Camilo Marulanda López,Camilo,Marulanda López
Gabriel de Alba de Gandiaga,Gabriel,de Alba de Gandiaga
Luis Alarcón Mantilla,Luis,Alarcón Mantilla
Ray Bromark,Ray,Bromark
Russ Ford,Russ,Ford
William Armstrong,William,Armstrong
Carl Youngman,Carl,Youngman
Claude Bigras,Claude,Bigras
Dave Samuel,Dave,Samuel
David Galloway,David,Galloway
Michael Boychuk,Michael,Boychuk
Murray Leimert,Murray,Leimert
Richard Roy,Richard,Roy
Jerry L. Gray,Jerry,Gray
Brian Hayward,Brian,Hayward
Karen M. Swystun,Karen,Swystun
Gordon B. Webster,Gordon,Webster
James E. Cohen,James,Cohen
Anthony J. Cohen,Anthony,Cohen
Paul Block,Paul,Block
He Fangzhen,He,Fangzhen
Hong Zhao Guang,Hong,Zhao Guang
Sophia Leung,Sophia,Leung
Brian Palmieri,Brian,Palmieri
Liu Yingchun,Liu,Yingchun
Luke Zhang,Luke,Zhang
Dave Brown,Dave,Brown
David Ferguson,David,Ferguson
Don Wright,Don,Wright
Fiona Macdonald,Fiona,Macdonald
Gene McBurney,Gene,McBurney
Harris Fricker,Harris,Fricker
Jim Meekison,Jim,Meekison
Kevin Sullivan,Kevin,Sullivan
Rob Peters,Rob,Peters
Sandy Riley,Sandy,Riley
Bruce Aunger,Bruce,Aunger
Donald Ross,Donald,Ross
Jon Kennedy,Jon,Kennedy
Richard Whittall,Richard,Whittall
Dag Cramer,Dag,Cramer
Dave Peat,Dave,Peat
Doctor Alfred Gusenbauer,Alfred,Gusenbauer
Jonathan Henry,Jonathan,Henry
Keith Hulley,Keith,Hulley
Walter Segsworth,Walter,Segsworth
Wayne Kirk,Wayne,Kirk
Darcy Will,Darcy,Will
David Will,David,Will
Jerry van Someren,Jerry,van Someren
Jim McPherson,Jim,McPherson
Peter Miles,Peter,Miles
Tim Sebastian,Tim,Sebastian
Harry English,Harry,English
Ingram Gillmore,Ingram,Gillmore
Don T. Gray,Don,Gray
John O'Connell,John,O'Connell
Kevin Olson,Kevin,Olson
Neil Roszell,Neil,Roszell
Peter Verburg,Peter,Verburg
Raymond Cej,Raymond,Cej
Greg Bay,Greg,Bay
Garth MacRae,Garth,MacRae
Harry Glorikian,Harry,Glorikian
James Howard-Tripp,James,Howard-Tripp
Leslie Auld,Leslie,Auld
Rory Riggs,Rory,Riggs
Iain Stewart,Iain,Stewart
Loudon Owen,Loudon,Owen
Mark Mitchell,Mark,Mitchell
Stephen Griggs,Stephen,Griggs
Steve Glover,Steve,Glover
Yazdi Bharucha,Yazdi,Bharucha
Michael Brodsky,Michael,Brodsky
Brian Hurley,Brian,Hurley
Heather Nicol,Heather,Nicol
Jerome Upton,Jerome,Upton
John Walker,John,Walker
Leon Roday,Leon,Roday
Sidney Horn,Sidney,Horn
Stuart Levings,Stuart,Levings
Dave Harper,Dave,Harper
John Bingham,John,Bingham
Colin Jones,Colin,Jones
Ron Sellwood,Ron,Sellwood
Daniel Im,Daniel,Im
Adrian Reynolds,Adrian,Reynolds
Isabelle Marcoux,Isabelle,Marcoux
Sarabjit S. Marwah,Sarabjit,Marwah
Gordon M. Nixon,Gordon,Nixon
J. Robert S. Prichard,J.,Prichard
Thomas F. Rahilly,Thomas,Rahilly
Robert Sawyer,Robert,Sawyer
Christi Strauss,Christi,Strauss
Barbara Stymiest,Barbara,Stymiest
Galen G. Weston,Galen,Weston
Alannah Weston,Alannah,Weston
Paviter S. Binning,Paviter,Binning
Charles Baillie,Charles,Baillie
Clayton Woitas,Clayton,Woitas
Don Ingram,Don,Ingram
Jim Cleary,Jim,Cleary
Jim Estey,Jim,Estey
Marshall McRae,Marshall,McRae
Mary Peters,Mary,Peters
Stew Hanlon,Stew,Hanlon
Anne Martin-Vachon,Anne,Martin-Vachon
Bill Anderson,Bill,Anderson
Don Berg,Don,Berg
George Heller,George,Heller
Glenn Chamandy,Glenn,Chamandy
Gonzalo Valdes-Fauli,Gonzalo,Valdes-Fauli
Russ Hagey,Russ,Hagey
Russell Goodman,Russell,Goodman
Sheila O'Brien,Sheila,O'Brien
Anne Martin-Vachon,Anne,Martin-Vachon
Bill Anderson,Bill,Anderson
Don Berg,Don,Berg
George Heller,George,Heller
Glenn Chamandy,Glenn,Chamandy
Gonzalo Valdes-Fauli,Gonzalo,Valdes-Fauli
Russ Hagey,Russ,Hagey
Russell Goodman,Russell,Goodman
Sheila O'Brien,Sheila,O'Brien
Bruce Aunger,Bruce,Aunger
Chris Heming,Chris,Heming
Geoffrey Scott,Geoffrey,Scott
Jon Kennedy,Jon,Kennedy
Sam Grippo,Sam,Grippo
Tim McElvaine,Tim,McElvaine
Trevor T. Hill,Trevor,Hill
William S. Levine,William,Levine
Richard M. Alexander,Richard,Alexander
L. Rita Theil,L.,Theil
David C. Tedesco,David,Tedesco
Cindy M. Bowers,Cindy,Bowers
Ron L. Fleming,Ron,Fleming
David Tedsco,David,Tedsco
Ian Atkinson,Ian,Atkinson
Chris Bryan,Chris,Bryan
Johannes van Hoof,Johannes,van Hoof
Dianne Stoch,Dianne,Stoch
Jack Stoch,Jack,Stoch
Herb Solway,Herb,Solway
Nancy Lockhart,Nancy,Lockhart
Paul Beeston,Paul,Beeston
Pierre-Andre Themens,Pierre-Andre,Themens
Steve Halperin,Steve,Halperin
Virginia Davis,Virginia,Davis
Wilf Gobert,Wilf,Gobert
Terence Coughlan,Terence,Coughlan
Phillip Gaunce,Phillip,Gaunce
George Waye,George,Waye
Terrence R. Cooper,Terrence,Cooper
Dana Hatfield,Dana,Hatfield
Bev Briscoe,Bev,Briscoe
Blanca Treviño de Vega,Blanca,Treviño de Vega
Clem Pelletier,Clem,Pelletier
Ian Telfer,Ian,Telfer
Ken Williamson,Ken,Williamson
Margot Franssen,Margot,Franssen
P Reifel,P,Reifel
Peter Dey,Peter,Dey
Thomas M. Clay,Thomas,Clay
Bryan A. Coates,Bryan,Coates
Bernard Guarnera,Bernard,Guarnera
Paul M. Blythe,Paul,Blythe
Guy Le Bel,Guy,Le Bel
Anu Dhir,Anu,Dhir
Bill Yeates,Bill,Yeates
Craig Nelsen,Craig,Nelsen
Dan Owiredu,Dan,Owiredu
Rob Doyle,Rob,Doyle
Sam Coetzer,Sam,Coetzer
Tim Baker,Tim,Baker
Tony Jensen,Tony,Jensen
Keith Piggott,Keith,Piggott
Gregg Sedun,Gregg,Sedun
Jarvier Reyes,Jarvier,Reyes
Corry Sillbernagel,Corry,Sillbernagel
Javier Montano,Javier,Montano
David Ingram,David,Ingram
Enrique Peralta,Enrique,Peralta
Claude Garcia,Claude,Garcia
David Goodfellow,David,Goodfellow
G Goodfellow,G,Goodfellow
Stephen Jarislowsky,Stephen,Jarislowsky
Denis Fraser,Denis,Fraser
Keith Rattray,Keith,Rattray
Bob Metcalfe,Bob,Metcalfe
Hernan Martinez Torres,Hernan,Martinez Torres
Jaime Perez Branger,Jaime,Perez Branger
Mark Ashcroft,Mark,Ashcroft
Mark Wellings,Mark,Wellings
Miguel de la Campa,Miguel,de la Campa
Rod Lamond,Rod,Lamond
Serafino Iacono,Serafino,Iacono
Brad Porter,Brad,Porter
Brendan Carrigy,Brendan,Carrigy
Dennis Nerland,Dennis,Nerland
Henry Hamm,Henry,Hamm
Kevin Andrus,Kevin,Andrus
Marty Cheyne,Marty,Cheyne
Mike Kabanuk,Mike,Kabanuk
Brydon Cruise,Brydon,Cruise
George Voorheis,George,Voorheis
Gerry Miller,Gerry,Miller
Michael Brody,Michael,Brody
Mike Forsayeth,Mike,Forsayeth
Peter Dey,Peter,Dey
Professor Barry Gilbertson,Barry,Gilbertson
David Prupas,David,Prupas
Karen Keilty,Karen,Keilty
Mark Davis,Mark,Davis
Neil Baker,Neil,Baker
Peter Meredith,Peter,Meredith
Rod Baker,Rod,Baker
The Hon. Larry Campbell,Larry,Campbell
Thomas Gaffney,Thomas,Gaffney
Bob Archer,Bob,Archer
Bob Garnett,Bob,Garnett
Jeffrey Mason,Jeffrey,Mason
Jim Mullin,Jim,Mullin
John Jennings,John,Jennings
Ken Major,Ken,Major
Marcel R. Coutu,Marcel,Coutu
André Desmarais,André,Desmarais
"Paul Desmarais, Jr.",Paul,Desmarais
Gary A. Doer,Gary,Doer
Claude Généreux,Claude,Généreux
Chaviva M. Hošek,Chaviva,Hošek
J. David A. Jackson,J.,Jackson
Susan J. McArthur,Susan,McArthur
R. Jeffrey Orr,R.,Orr
Rima Qureshi,Rima,Qureshi
Henri-Paul Rousseau,Henri-Paul,Rousseau
Raymond Royer,Raymond,Royer
T. Timothy Ryan,T.,Ryan
Jerome J. Selitto,Jerome,Selitto
James M. Singh,James,Singh
Emőke J.E. Szathmáry,Emőke,Szathmáry
Gregory D. Tretiak,Gregory,Tretiak
Siim A. Vanaselja,Siim,Vanaselja
Brian E. Walsh,Brian,Walsh
Paul A. Mahon,Paul,Mahon
M.M. Greene,M.M.,Greene
Michel Plessis-Bélair,Michel,Plessis-Bélair
Don Wall,Don,Wall
Larry M. Pollock,Larry,Pollock
Randall J. Findlay,Randall,Findlay
Mathieu Gauvin,Mathieu,Gauvin
Carmen Richard Loberg,Carmen,Loberg
Larry Murphy,Larry,Murphy
Barry Myers,Barry,Myers
George Mavroudis,George,Mavroudis
Hans-Joerg Rudloff,Hans-Joerg,Rudloff
Harold Hillier,Harold,Hillier
Jim Anas,Jim,Anas
Mike Christodoulou,Mike,Christodoulou
Ted McDermott,Ted,McDermott
Alan Ferry,Alan,Ferry
Dan Noone,Dan,Noone
David Beatty,David,Beatty
JP Chauvin,JP,Chauvin
John Sheridan Jr,John,Sheridan
Mike Richings,Mike,Richings
Rene Marion,Rene,Marion
Scott Caldwell,Scott,Caldwell
Wendy Kei,Wendy,Kei
Tom Hofstedter,Tom,Hofstedter
Edward Gilbert,Edward,Gilbert
Laurence Lebovic,Laurence,Lebovic
Rob Dickson,Rob,Dickson
Ronald Rutman,Ronald,Rutman
Stephen Sender,Stephen,Sender
Rob Hammond,Rob,Hammond
Marc Dubé,Marc,Dubé
Paul Quigley,Paul,Quigley
Sheila Hammond,Sheila,Hammond
Ted Sehl,Ted,Sehl
Doctor Sven Rohmann,Sven,Rohmann
Albert Beraldo,Albert,Beraldo
Doctor George Anders,George,Anders
Doctor Marek Orlowski,Marek,Orlowski
Sylwester Cacek,Sylwester,Cacek
Beth Horowitz,Beth,Horowitz
Bob McFarlane,Bob,McFarlane
Helen Wong,Helen,Wong
Jason Henderson,Jason,Henderson
Michael Grandin,Michael,Grandin
Nancy Anthony,Nancy,Anthony
Pierre Goad,Pierre,Goad
Sam Minzberg,Sam,Minzberg
Sandra Stuart,Sandra,Stuart
Asim Ghosh,Asim,Ghosh
Canning Fok,Canning,Fok
Colin Russel,Colin,Russel
Doctor Bill Shurniak,Bill,Shurniak
Eva Kwok,Eva,Kwok
Frank Sixt,Frank,Sixt
George Magnus,George,Magnus
Martin Glynn,Martin,Glynn
Neil McGee,Neil,McGee
Poh Koh,Poh,Koh
Professor Frederick Ma,Frederick,Ma
Rob Peabody,Rob,Peabody
Stanley Kwok,Stanley,Kwok
Stephen Bradley,Stephen,Bradley
Victor Li,Victor,Li
Wayne Shaw,Wayne,Shaw
Deb Besemer,Deb,Besemer
Harry Gruner,Harry,Gruner
Les Rechan,Les,Rechan
Mike Slaunwhite,Mike,Slaunwhite
Peter Hoult,Peter,Hoult
Rob Ashe,Rob,Ashe
Tim Williams,Tim,Williams
Dick Waterman,Dick,Waterman
Fred Jaques,Fred,Jaques
Dahra Granovsky,Dahra,Granovsky
David FitzGibbon,David,FitzGibbon
Grant Robinson,Grant,Robinson
Douglas Baldwin,Douglas,Baldwin
Don MacAdam,Don,MacAdam
Bill Hammond,Bill,Hammond
Bill Paine,Bill,Paine
Fulai Lang,Fulai,Lang
Graham Kwan,Graham,Kwan
Joanne Yan,Joanne,Yan
Malcolm Clay,Malcolm,Clay
Randy Smallbone,Randy,Smallbone
Rob Brown,Rob,Brown
E. Lawrence Sauder,E.,Sauder
Graham Wilson,Graham,Wilson
Peter Bull,Peter,Bull
William Sauder,William,Sauder
Stephen Roman,Stephen,Roman
Derek Rance,Derek,Rance
Doctor Richard Sutcliffe,Richard,Sutcliffe
H Scharf,H,Scharf
Richard Faucher,Richard,Faucher
George Flach,George,Flach
Professor Doctor S Majewski,S,Majewski
Wayne Russell Taylor,Wayne,Taylor
Ian Buchhorn,Ian,Buchhorn
Stephen Bruce Dennis,Stephen,Dennis
Borden Putnam III,Borden,Putnam
Fiona Robertson,Fiona,Robertson
Mark Sawyer,Mark,Sawyer
Brian Robbins,Brian,Robbins
Doctor Andy Stevens,Andy,Stevens
Gilles Labbé,Gilles,Labbé
Jean-Louis Fontaine,Jean-Louis,Fontaine
Jim Morris,Jim,Morris
Louis Morin,Louis,Morin
Nathalie Bourque,Nathalie,Bourque
Paule Doré,Paule,Doré
Réal Raymond,Réal,Raymond
Dan Bordessa,Dan,Bordessa
Michael Binnion,Michael,Binnion
Simon Batcup,Simon,Batcup
Steven Vasey,Steven,Vasey
Tom Alford,Tom,Alford
Alan Bell,Alan,Bell
Andy Hennigar,Andy,Hennigar
Andy Miller,Andy,Miller
David Hennigar,David,Hennigar
Derek Buntain,Derek,Buntain
Finn van Schaayk,Finn,van Schaayk
Henry Demone,Henry,Demone
James Covelluzzi,James,Covelluzzi
Keith Decker,Keith,Decker
M Mahody,M,Mahody
Rob Dexter,Rob,Dexter
Robert Pace,Robert,Pace
Shelly Jamieson,Shelly,Jamieson
David Wood,David,Wood
Doctor Dustin Haw,Dustin,Haw
Marc Staniloff,Marc,Staniloff
Michael Rapps,Michael,Rapps
Rich Grimaldi,Rich,Grimaldi
Bill Walker,Bill,Walker
Bob Blowes,Bob,Blowes
Bob Mitchell,Bob,Mitchell
Bonita Then,Bonita,Then
Doctor Kevin Smith,Kevin,Smith
Jackie Beaurivage,Jackie,Beaurivage
Jerry Soloway,Jerry,Soloway
John Marsh,John,Marsh
Will Falk,Will,Falk
Ann Rooney,Ann,Rooney
Brad Fedora,Brad,Fedora
Dale Tremblay,Dale,Tremblay
Kevin Nabholz,Kevin,Nabholz
Rich Ballantyne,Rich,Ballantyne
Rod Graham,Rod,Graham
Russell Newmark,Russell,Newmark
Alan Hair,Alan,Hair
Alan Hibben,Alan,Hibben
Alan Lenczner,Alan,Lenczner
Carin Knickel,Carin,Knickel
Igor Gonzales Galindo,Igor,Gonzales Galindo
Ken Stowe,Ken,Stowe
Mike Waites,Mike,Waites
Sarah Kavanagh,Sarah,Kavanagh
Tom Goodman,Tom,Goodman
W Holmes,W,Holmes
Alan Hair,Alan,Hair
Alan Hibben,Alan,Hibben
Alan Lenczner,Alan,Lenczner
Carin Knickel,Carin,Knickel
Igor Gonzales Galindo,Igor,Gonzales Galindo
Ken Stowe,Ken,Stowe
Mike Waites,Mike,Waites
Sarah Kavanagh,Sarah,Kavanagh
Tom Goodman,Tom,Goodman
W Holmes,W,Holmes
David G. Leith,David,Leith
Denise Pickett,Denise,Pickett
Wayne Pommen,Wayne,Pommen
Earl Rotman,Earl,Rotman
Matthew Rubel,Matthew,Rubel
Andrea Wong,Andrea,Wong
Richard A. Baker,Richard,Baker
Robert C. Baker,Robert,Baker
William L. Mack,William,Mack
Lee S. Neibart,Lee,Neibart
Charles Brindamour,Charles,Brindamour
Chris Clark,Chris,Clark
David Denison,David,Denison
Doctor Kate Jackson,Kate,Jackson
Frances Lankin,Frances,Lankin
Gale Rubenstein,Gale,Rubenstein
George Cooke,George,Cooke
Ian Bourne,Ian,Bourne
Jane Peverett,Jane,Peverett
Jim Hinds,Jim,Hinds
Marc Caira,Marc,Caira
Margaret Harris,Margaret,Harris
Mayo Schmidt,Mayo,Schmidt
Philip Orsino,Philip,Orsino
Roberta Jamieson,Roberta,Jamieson
Daryl Wilson,Daryl,Wilson
David Ferguson,David,Ferguson
Don Lowry,Don,Lowry
Doug Alexander,Doug,Alexander
Joe Cargnelli,Joe,Cargnelli
Mike Cardiff,Mike,Cardiff
Sara Elford,Sara,Elford
David L. Yager,David,Yager
Patrick F. Ross,Patrick,Ross
Walter M. Chayka,Walter,Chayka
Jane Halford,Jane,Halford
Willi Hamm,Willi,Hamm
David Yeger,David,Yeger
John Pinsent,John,Pinsent
Don Charter,Don,Charter
John Caldwell,John,Caldwell
Mahendra Naik,Mahendra,Naik
Ritch Hall,Ritch,Hall
Steve Letwin,Steve,Letwin
Sybil Veenman,Sybil,Veenman
Tim Snider,Tim,Snider
David Thom,David,Thom
Scott Stewart,Scott,Stewart
Dale Richmond,Dale,Richmond
Jane Bird,Jane,Bird
Lorraine Bell,Lorraine,Bell
Juri Pill,Juri,Pill
Angela Holtham,Angela,Holtham
Ernie Angelo Jr,Ernie,Angelo
Grant Sawiak,Grant,Sawiak
John Stubbs,John,Stubbs
The Hon. Pierre Pettigrew,Pierre,Pettigrew
Doctor George Poling,George,Poling
Knute Lee Jr,Knute,Lee
Anthony Grey,Anthony,Grey
Randy Foote,Randy,Foote
Leiv Erdal,Leiv,Erdal
João Carrêlo,João,Carrêlo
Marc A. Bibeau,Marc,Bibeau
Marcel R. Coutu,Marcel,Coutu
André Desmarais,André,Desmarais
Gary Doer,Gary,Doer
Claude Généreux,Claude,Généreux
Sharon Hodgson,Sharon,Hodgson
Daniel Johnson,Daniel,Johnson
Susan J. McArthur,Susan,McArthur
John S. McCallum,John,McCallum
R. Jeffrey Orr,R.,Orr
Jacques Parisien,Jacques,Parisien
Henri-Paul Rousseau,Henri-Paul,Rousseau
Susan Sherk,Susan,Sherk
Gregory D. Tretiak,Gregory,Tretiak
Jeffrey R. Carney,Jeffrey,Carney
"Paul Desmarais, Jr.",Paul,Desmarais
Peter Harder,Peter,Harder
Brad Wechsler,Brad,Wechsler
Dana Settle,Dana,Settle
Darren Throop,Darren,Throop
David Leebron,David,Leebron
Eric Demirian,Eric,Demirian
Greg Foster,Greg,Foster
Michael Lynne,Michael,Lynne
Michael MacMillan,Michael,MacMillan
Neil Braun,Neil,Braun
Rich Gelfond,Rich,Gelfond
Stéphane Amine,Stéphane,Amine
Dan Argiros,Dan,Argiros
Jean-Daniel Cohen,Jean-Daniel,Cohen
Marc Manasterski,Marc,Manasterski
Michael Zakuta,Michael,Zakuta
Raymond Paré,Raymond,Paré
Richard Dansereau,Richard,Dansereau
Madan Bhayana,Madan,Bhayana
Samir Bhayana,Samir,Bhayana
Jim Stelter,Jim,Stelter
Brian A. Mirsky,Brian,Mirsky
Bartley Bull,Bartley,Bull
Dezsö J. Horváth,Dezsö,Horváth
Frank Delfino,Frank,Delfino
Eric Ehgoetz,Eric,Ehgoetz
Doctor Amina Odidi,Amina,Odidi
Doctor Isa Odidi,Isa,Odidi
John Allport,John,Allport
Bahadur Madhani,Bahadur,Madhani
Doctor Eldon Smith,Eldon,Smith
Doctor Ken Keirstead,Ken,Keirstead
Candace MacGibbon,Candace,MacGibbon
Parviz Farsangi,Parviz,Farsangi
Eric Klein,Eric,Klein
Jim Clucas,Jim,Clucas
Rob Pollock,Rob,Pollock
Terry MacGibbon,Terry,MacGibbon
Albert Scardino,Albert,Scardino
Fred Smithers,Fred,Smithers
Jim Hall,Jim,Hall
Wade Dawe,Wade,Dawe
Wayne Pisano,Wayne,Pisano
J. Brian Kynoch,J.,Kynoch
Pierre Lebel,Pierre,Lebel
Larry G. Moeller,Larry,Moeller
Theodore W. Muraro,Theodore,Muraro
Laurie Pare,Laurie,Pare
Edward A. Yurkowski,Edward,Yurkowski
David Sutherland,David,Sutherland
Doctor Jack Mintz,Jack,Mintz
Jerry Wascom,Jerry,Wascom
Krys Hoeg,Krys,Hoeg
Rich Kruger,Rich,Kruger
Sheelagh Whittaker,Sheelagh,Whittaker
Victor Young,Victor,Young
Anne-Marie LaBerge,Anne-Marie,LaBerge
David Sgro,David,Sgro
Frank Hennessey,Frank,Hennessey
François-Xavier Seigneur,François-Xavier,Seigneur
Gary O'Connor,Gary,O'Connor
Mike Forsayeth,Mike,Forsayeth
Pat Sugrue,Pat,Sugrue
Pierre Raymond,Pierre,Raymond
Roland Boudreau,Roland,Boudreau
Roula Zaarour,Roula,Zaarour
Anne O'Donovan,Anne,O'Donovan
Frank Clegg,Frank,Clegg
Gerry Schwartz,Gerry,Schwartz
Heather Reisman,Heather,Reisman
Howard Grosfield,Howard,Grosfield
Joel Silver,Joel,Silver
Jonathan Deitcher,Jonathan,Deitcher
Mitch Goldhar,Mitch,Goldhar
Robert Haft,Robert,Haft
The Hon. Michael Kirby,Michael,Kirby
Agathe Côté,Agathe,Côté
Claude Lamoureux,Claude,Lamoureux
Danielle G. Morin,Danielle,Morin
Denyse Chicoyne,Denyse,Chicoyne
Emma K. Griffin,Emma,Griffin
Francis P. McGuire,Francis,McGuire
Jacques Martin,Jacques,Martin
Jocelyne Bourgon,Jocelyne,Bourgon
John LeBoutillier,John,LeBoutillier
Louis Têtu,Louis,Têtu
Mary C. Ritchie,Mary,Ritchie
Michael Hanley,Michael,Hanley
Pierre Brodeur,Pierre,Brodeur
Robert Coallier,Robert,Coallier
Yvon Charest,Yvon,Charest
Karyn Brooks,Karyn,Brooks
Tom Christiansen,Tom,Christiansen
Doug Emsley,Doug,Emsley
Tony Guglielmin,Tony,Guglielmin
Scott Musgrave,Scott,Musgrave
Michelle Ouellette,Michelle,Ouellette
Dion E. Tchorzewski,Dion,Tchorzewski
Joel Teal,Joel,Teal
Jess Chua,Jess,Chua
Bradley Sylvester,Bradley,Sylvester
Edward Boomer,Edward,Boomer
Heather-Anne Irwin,Heather-Anne,Irwin
Daniel Lewis,Daniel,Lewis
Jon E Love,Jon,Love
Robert McFarlane,Robert,McFarlane
Edward Pitoniak,Edward,Pitoniak
Robert Wolf,Robert,Wolf
Bill Lambert,Bill,Lambert
Dalton McGuinty,Dalton,McGuinty
Dan Lafrance,Dan,Lafrance
Jean La Couture,Jean,La Couture
Michel Letellier,Michel,Letellier
Monique Mercier,Monique,Mercier
Richard Laflamme,Richard,Laflamme
Richard Weil,Richard,Weil
James Breslo,James,Breslo
Aubrey Zidenberg,Aubrey,Zidenberg
Edward Stanek,Edward,Stanek
Paul van Eyk,Paul,van Eyk
Bob Crispin,Bob,Crispin
Carol Stephenson,Carol,Stephenson
Charles Brindamour,Charles,Brindamour
Claude Dussault,Claude,Dussault
Doctor Eileen Mercier,Eileen,Mercier
Doctor Jan De Silva,Jan,De Silva
Fred Singer,Fred,Singer
Professor Doctor Louise Roy,Louise,Roy
Rob Leary,Rob,Leary
Steve Snyder,Steve,Snyder
Tim Penner,Tim,Penner
Yves Brouillette,Yves,Brouillette
Victor Koloshuk,Victor,Koloshuk
David H. Atkins,David,Atkins
Robert L. Brooks,Robert,Brooks
John A. Crocker,John,Crocker
Bruce D. Day,Bruce,Day
Veronika Hirsch,Veronika,Hirsch
David G. Mather,David,Mather
John F.K. Robertson,John,Robertson
Bahadur Madhani,Bahadur,Madhani
Doctor Amina Odidi,Amina,Odidi
Doctor Eldon Smith,Eldon,Smith
Doctor Isa Odidi,Isa,Odidi
Doctor Ken Keirstead,Ken,Keirstead
John Allport,John,Allport
Alison Love,Alison,Love
Bill Robertson,Bill,Robertson
Brant Sangster,Brant,Sangster
Dave Fesyk,Dave,Fesyk
Duane Keinick,Duane,Keinick
Lorne Brown,Lorne,Brown
Margaret McKenzie,Margaret,McKenzie
