DirectorName - unedited,First_Name,Last_Name
Bryan Begley,Bryan,Begley
Carlos Fierro,Carlos,Fierro
Marshall McRae,Marshall,McRae
Rob Broen,Rob,Broen
Ron Eckhardt,Ron,Eckhardt
Gil Palter,Gil,Palter
Holli Ladhani,Holli,Ladhani
Jim Moore Jr,Jim,Moore
Kevin Howell,Kevin,Howell
Richard Duncan,Richard,Duncan
Senator Irving Gerstein,Irving,Gerstein
Teresa Ressel,Teresa,Ressel
Gil Palter,Gil,Palter
Holli Ladhani,Holli,Ladhani
Jim Moore Jr,Jim,Moore
Kevin Howell,Kevin,Howell
Richard Duncan,Richard,Duncan
Senator Irving Gerstein,Irving,Gerstein
Teresa Ressel,Teresa,Ressel
Fikile Tebogo De Buck,Fikile,De Buck
Harold Motaung,Harold,Motaung
Joel Martin Kesler,Joel,Kesler
Tumelo Motsisi,Tumelo,Motsisi
Andile Mabizela,Andile,Mabizela
Bongiwe Ntuli,Bongiwe,Ntuli
Colin Wayne Clarke,Colin,Clarke
Andrew Grant,Andrew,Grant
David Prussky,David,Prussky
Mark Silver,Mark,Silver
Nancy Lockhart,Nancy,Lockhart
Peter Cohos,Peter,Cohos
Rob Goodall,Rob,Goodall
Robert DeGasperis,Robert,DeGasperis
Anne Day,Anne,Day
Chris Richter,Chris,Richter
Janice Stairs,Janice,Stairs
Joe Spiteri,Joe,Spiteri
John McCluskey,John,McCluskey
Richard Colterjohn,Richard,Colterjohn
Scott Perry,Scott,Perry
Tony Garson,Tony,Garson
Patrick Mars,Patrick,Mars
Juarez Saliba de Avelar,Juarez,Saliba de Avelar
Paulo Carlos de Brito,Paulo,de Brito
Jim Bannantine,Jim,Bannantine
Stephen Keith,Stephen,Keith
William Murray,William,Murray
Tom Ogryzlo,Tom,Ogryzlo
David Netherway,David,Netherway
Geoff Eyre,Geoff,Eyre
Jean-Guy Martin,Jean-Guy,Martin
Loudon Owen,Loudon,Owen
Mehmet Gnal,Mehmet,Gnal
Serhan Umurhan,Serhan,Umurhan
Charlie Rowland Jr,Charlie,Rowland
Doctor Beni Rovinski,Beni,Rovinski
Doctor David Jayne,David,Jayne
Doctor Greg Ayers,Greg,Ayers
Doctor Hyuek Lee,Hyuek,Lee
Doctor Richard Glickman,Richard,Glickman
Barry James,Barry,James
Dennis DesRosiers,Dennis,DesRosiers
Gord Barefoot,Gord,Barefoot
Maryann Keller,Maryann,Keller
Mike Ross,Mike,Ross
Pat Priestner,Pat,Priestner
Tom Orysiuk,Tom,Orysiuk
James Matthews,James,Matthews
Janet Graham,Janet,Graham
John Morrison,John,Morrison
Kapil Dilawri,Kapil,Dilawri
Stuart Lazier,Stuart,Lazier
Alan Ferry,Alan,Ferry
Brian MacEachen,Brian,MacEachen
Doctor Ken Thomas,Ken,Thomas
Don Bubar,Don,Bubar
Jane Pagel,Jane,Pagel
Peter McCarter,Peter,McCarter
Eric Kohn TD,Eric,Kohn
Kees de Koning,Kees,de Koning
David Levi,David,Levi
Elizabeth Otis,Elizabeth,Otis
Jaap Rosen Jacobson,Jaap,Rosen Jacobson
Raymond Castelli,Raymond,Castelli
Peter George,Peter,George
Mark van Rooij,Mark,van Rooij
Alex Fernandes,Alex,Fernandes
Bruce Marginson,Bruce,Marginson
D Tevlin,D,Tevlin
Doctor Pradeep Khosla,Pradeep,Khosla
Fred Withers,Fred,Withers
Larry Berg,Larry,Berg
Mike McKnight,Mike,McKnight
Wan Jung,Wan,Jung
Howard B. Miller,Howard,Miller
Andrew King,Andrew,King
Ibrahim Kantao,Ibrahim,Kantao
John Kearney,John,Kearney
Keith McCandlish,Keith,McCandlish
Jonas U. Rydell,Jonas,Rydell
Roy Meade,Roy,Meade
Anthony M. Bousfield,Anthony,Bousfield
Derek Kyle,Derek,Kyle
Curtis Church,Curtis,Church
Joseph Havlin,Joseph,Havlin
Matthew O’Kane,Matthew,O’Kane
Apolonius (Paul) Struijk,Apolonius,Struijk
Alexander Bayer,Alexander,Bayer
Richard Clement,Richard,Clement
Alex Bayer,Alex,Bayer
Kim Hautt Ng,Kim,Hautt
Bob Cross,Bob,Cross
Bongani Mtshisi,Bongani,Mtshisi
Clive Johnson,Clive,Johnson
Doctor Barry Rayment,Barry,Rayment
Doctor Bob Gayton,Bob,Gayton
George Johnson,George,Johnson
Jerry Korpan,Jerry,Korpan
Kevin Bullock,Kevin,Bullock
Barry Allen,Barry,Allen
Bob Brown,Bob,Brown
Bob Simmonds,Bob,Simmonds
Calin Rovinescu,Calin,Rovinescu
David Denison,David,Denison
George Cope,George,Cope
Gord Nixon,Gord,Nixon
Ian Greenberg,Ian,Greenberg
Katherine Lee,Katherine,Lee
Monique Leroux,Monique,Leroux
Paul Weiss,Paul,Weiss
Rob Dexter,Rob,Dexter
Ron Brenneman,Ron,Brenneman
Sophie Brochu,Sophie,Brochu
William Lambert,William,Lambert
Stanley Spavold,Stanley,Spavold
Kevin P. Golding,Kevin,Golding
Edwin Nordholm,Edwin,Nordholm
Alan Rickard,Alan,Rickard
Gene Gebolys,Gene,Gebolys
André Bérard,André,Bérard
Charles Des Groseillers,Charles,Des Groseillers
Gabriel Castiglio,Gabriel,Castiglio
Gilles Crépeau,Gilles,Crépeau
Lucien Bouchard,Lucien,Bouchard
